Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,CrdY,CrdR,2CrdY,Goals,Shots,SoT,Assists
166,Nicola Bagnolini,ITA,GK,Bologna,Serie A,18,2004,1,0,0,0,0,0,0,0
167,Issa Bah,LUX,FW,Venezia,Serie A,19,2002,1,0,0,0,0,0,0,0
168,Stéphane Bahoken,CMR,FW,Angers,Ligue 1,30,1992,29,0,0,0,0.25,1.97,1.15,0.08
169,Leon Bailey,JAM,FWMF,Aston Villa,Premier League,24,1997,18,0.35,0,0,0.12,2.47,0.94,0.24
170,Eric Bailly,CIV,DF,Manchester Utd,Premier League,28,1994,4,0.42,0,0,0,0,0,0
171,Dénys Bain,FRA,DF,Brest,Ligue 1,28,1993,2,0,0,0,0,0,0,0
172,Stefan Bajic,FRA,GK,Saint-Étienne,Ligue 1,20,2001,7,0,0,0,0,0,0,0
173,Nedim Bajrami,ALB,MFFW,Empoli,Serie A,23,1999,35,0.13,0,0,0.26,2.24,0.79,0.22
174,Cédric Bakambu,COD,FW,Marseille,Ligue 1,31,1991,12,0.25,0,0,1,4.75,2,0
175,Abdoulaye Bakayoko,FRA,DF,Saint-Étienne,Ligue 1,19,2002,4,0,0,0,0,0,0,0
176,Tiemoué Bakayoko,FRA,MF,Milan,Serie A,27,1994,14,0.54,0,0,0,0.71,0,0
177,Mitchel Bakker,NED,DF,Leverkusen,Bundesliga,21,2000,25,0.3,0,0,0,0.45,0.1,0.2
178,Ridle Baku,GER,DFFW,Wolfsburg,Bundesliga,24,1998,34,0.15,0,0,0.11,1.36,0.29,0.18
179,Dilane Bakwa,FRA,FWDF,Bordeaux,Ligue 1,19,2002,5,0,0,0,0,4,2,0
180,Tommaso Baldanzi,ITA,FW,Empoli,Serie A,19,2003,1,0,0,0,0,0,0,0
181,Alejandro Balde,ESP,DFFW,Barcelona,La Liga,18,2003,5,0,0,0,0,0.48,0,0
182,Ibrahima Baldé,FRA,FWMF,Lens,Ligue 1,19,2003,4,0,0,0,0,0,0,0
183,Keita Baldé,SEN,FWMF,Cagliari,Serie A,27,1995,26,0.15,0,0,0.22,1.9,0.66,0.07
184,Gareth Bale,WAL,FW,Real Madrid,La Liga,32,1989,5,0.65,0,0,0.32,4.84,1.94,0
185,Mikel Balenziaga,ESP,DF,Athletic Club,La Liga,34,1988,26,0.09,0,0,0,0.27,0.09,0
186,Leonardo Balerdi,ARG,DF,Marseille,Ligue 1,23,1999,17,0.38,0.09,0,0,0.19,0,0
187,Iván Balliu,ALB,DF,Rayo Vallecano,La Liga,30,1992,35,0.29,0.03,0,0.03,0.43,0.09,0.06
188,Fodé Ballo-Touré,SEN,DF,Milan,Serie A,25,1997,10,0.4,0,0,0,0.6,0.2,0
189,Folarin Balogun,ENG,FW,Arsenal,Premier League,20,2001,2,0,0,0,0,3.75,0,0
190,Abdoulaye Bamba,CIV,DF,Angers,Ligue 1,32,1990,10,0.2,0,0,0,0.2,0,0
191,Jonathan Bamba,FRA,MFFW,Lille,Ligue 1,26,1996,31,0.11,0,0,0.04,1.89,0.44,0.07
192,Patrick Bamford,ENG,FW,Leeds United,Premier League,28,1993,9,0.32,0,0,0.32,3.23,0.81,0.32
193,Filippo Bandinelli,ITA,MF,Empoli,Serie A,27,1995,35,0.46,0,0,0.09,1.84,0.55,0.14
194,Mattia Bani,ITA,DF,Genoa,Serie A,28,1993,17,0.07,0,0,0,0.67,0,0
195,Simon Banza,FRA,FW,Lens,Ligue 1,25,1996,4,0,0,0,0.71,4.29,2.86,0.71
196,Shandon Baptiste,GRN,MF,Brentford,Premier League,24,1998,22,0.2,0.1,0.1,0.1,1.19,0.4,0.1
197,Antonín Barák,CZE,FWMF,Hellas Verona,Serie A,27,1994,29,0.15,0,0,0.42,1.85,0.77,0.15
198,Barbero,ESP,MFFW,Osasuna,La Liga,23,1998,6,0,0,0,0,0,0,0
199,Danilo Barbosa,BRA,DF,Nice,Ligue 1,26,1996,1,0,0,0,0,0,0,0
200,Barcia,ESP,DF,Granada,La Liga,21,2000,1,0,0,0,0,0,0,0
201,Bradley Barcola,FRA,FWMF,Lyon,Ligue 1,19,2002,11,0,0,0,0,1.72,0.69,0.34
202,Melvin Bard,FRA,DF,Nice,Ligue 1,21,2000,33,0.1,0,0,0.07,0.17,0.07,0.07
203,Enis Bardhi,MKD,MFFW,Levante,La Liga,26,1995,30,0.16,0,0,0.16,2.17,0.37,0.16
204,Francesco Bardi,ITA,GK,Bologna,Serie A,30,1992,2,0,0,0,0,0,0,0
205,Keidi Bare,ALB,MF,Espanyol,La Liga,24,1997,25,0.55,0,0,0.06,0.3,0.06,0.06
206,Nicolò Barella,ITA,MF,Inter,Serie A,25,1997,36,0.28,0,0,0.09,2.1,0.37,0.34
207,Kike Barja,ESP,MFFW,Osasuna,La Liga,25,1997,21,0.21,0,0,0.21,1.77,0.63,0
208,Ross Barkley,ENG,MF,Chelsea,Premier League,28,1993,6,0,0,0,0.5,4.5,2,0
209,Aymen Barkok,MAR,MFFW,Eint Frankfurt,Bundesliga,24,1998,5,0,0,0,0,1.11,0.56,0
210,Ashley Barnes,ENG,FW,Burnley,Premier League,32,1989,23,0.44,0,0,0.11,1.67,0.56,0
211,Harvey Barnes,ENG,FWMF,Leicester City,Premier League,24,1997,32,0.09,0,0,0.26,2.88,1.03,0.43
212,Antonio Barragán,ESP,DF,Elche,La Liga,34,1987,16,0.44,0,0,0,0.09,0,0
213,Leandro Barreiro Martins,LUX,MF,Mainz 05,Bundesliga,22,2000,31,0.15,0,0,0.05,1.61,0.45,0.1
214,Ander Barrenetxea,ESP,FWMF,Real Sociedad,La Liga,20,2001,11,0,0,0,0.16,1.31,0.33,0.16
215,Jacob Barrett Laursen,DEN,DF,Arminia,Bundesliga,27,1994,24,0.06,0,0,0.11,0.44,0.22,0
216,Musa Barrow,GAM,FWMF,Bologna,Serie A,23,1998,34,0,0,0,0.25,3.04,1.18,0.25
217,Abdourahmane Barry,FRA,DF,Greuther Fürth,Bundesliga,22,2000,8,0.87,0,0,0,0.43,0,0
218,Marc Bartra,ESP,DF,Betis,La Liga,31,1991,23,0.23,0,0,0.05,0.68,0.14,0
219,Daniele Baselli,ITA,MFFW,Torino,Serie A,30,1992,6,0,0,0,0,0.59,0,0
220,Daniele Baselli,ITA,MF,Cagliari,Serie A,30,1992,9,0.31,0,0,0,1.56,0,0.31
221,Toma Bai?,CRO,MF,Lazio,Serie A,25,1996,29,0.28,0,0,0,1.47,1.01,0.18
222,Toma Bai?,CRO,MF,Bordeaux,Ligue 1,25,1996,3,0,0,0,0,0.87,0,0.43
223,Amine Bassi,FRA,MF,Metz,Ligue 1,24,1997,5,0,0,0,0,2,0.5,0
224,Álvaro Bastida,ESP,MF,Cádiz,La Liga,18,2004,6,0.45,0,0,0,0,0,0
225,Alessandro Bastoni,ITA,DF,Inter,Serie A,23,1999,31,0.16,0,0,0.04,0.35,0.08,0.08
226,Simone Bastoni,ITA,MFDF,Spezia,Serie A,25,1996,31,0.2,0.04,0,0.12,1.1,0.24,0.12
227,Lewis Bate,ENG,MF,Leeds United,Premier League,19,2002,3,0,0,0,0,0.63,0,0
228,Rodrigo Battaglia,ARG,MF,Mallorca,La Liga,30,1991,26,0.31,0,0,0,0.38,0.08,0
229,Maximilian Bauer,GER,DF,Greuther Fürth,Bundesliga,22,2000,26,0.27,0,0,0,0.32,0.05,0
230,Oliver Baumann,GER,GK,Hoffenheim,Bundesliga,31,1990,33,0.03,0,0,0,0,0,0
231,Timo Baumgartl,GER,DF,Union Berlin,Bundesliga,26,1996,25,0.21,0,0,0.04,0.54,0.17,0.08
232,Julian Baumgartlinger,AUT,MF,Leverkusen,Bundesliga,34,1988,6,1,0,0,0,0,0,0
233,Christoph Baumgartner,AUT,MFFW,Hoffenheim,Bundesliga,22,1999,29,0.24,0,0,0.33,2,0.81,0.1
234,Jon Bautista,ESP,FWMF,Real Sociedad,La Liga,26,1995,1,0,0,0,0,2,0,0
235,Mohamed Bayo,GUI,FW,Clermont Foot,Ligue 1,23,1998,32,0.04,0,0,0.52,2.31,0.97,0.19
236,Paul Baysse,FRA,DF,Bordeaux,Ligue 1,34,1988,2,0,0,0,0,0,0,0
237,Noah Joel Sarenren Bazee,NGA,MFFW,Augsburg,Bundesliga,25,1996,14,0.37,0,0,0.37,2.59,1.11,0
238,Bebé,CPV,FWMF,Rayo Vallecano,La Liga,31,1990,29,0.21,0,0,0.1,5.1,0.73,0.21
239,Ihlas Bebou,TOG,FWDF,Hoffenheim,Bundesliga,28,1994,28,0,0,0,0.3,1.94,0.6,0.09
240,Rodrigo Becão,BRA,DF,Udinese,Serie A,26,1996,35,0.29,0,0,0.06,0.55,0.14,0.03
241,Mads Bech Sørensen,DEN,DF,Brentford,Premier League,23,1999,11,0.32,0,0,0,0.22,0,0
242,Sheraldo Becker,SUR,FWMF,Union Berlin,Bundesliga,27,1995,28,0.21,0,0,0.21,1.9,0.92,0.31
243,Jan Bednarek,POL,DF,Southampton,Premier League,26,1996,31,0.34,0,0,0.14,0.65,0.24,0
244,Donny van de Beek,NED,MF,Manchester Utd,Premier League,25,1997,8,0,0,0,1.25,2.5,1.25,0
245,Donny van de Beek,NED,MF,Everton,Premier League,25,1997,7,0.19,0,0,0.19,0.93,0.19,0
246,Asmir Begovi?,BIH,GK,Everton,Premier League,34,1987,3,0,0,0,0,0,0,0
247,Valon Behrami,SUI,MF,Genoa,Serie A,37,1985,10,0.86,0,0,0,0.29,0,0
248,Kevin Behrens,GER,FW,Union Berlin,Bundesliga,31,1991,24,0.18,0,0,0.36,2.91,1.27,0.36
249,Youcef Belaïli,ALG,MFFW,Brest,Ligue 1,30,1992,13,0.22,0,0,0.33,1.74,0.65,0.22
250,Vid Belec,SVN,GK,Salernitana,Serie A,31,1990,23,0.05,0,0,0,0,0,0
251,Ishak Belfodil,ALG,FW,Hertha BSC,Bundesliga,30,1992,26,0.05,0,0,0.27,1.87,0.93,0.11
252,Haris Belkebla,ALG,MF,Brest,Ligue 1,28,1994,31,0.08,0,0,0,0.16,0.04,0
253,Stefan Bell,GER,DF,Mainz 05,Bundesliga,30,1991,33,0.28,0,0,0.06,0.69,0.16,0
254,Armel Bella Kotchap,GER,DF,Bochum,Bundesliga,20,2001,22,0.26,0,0,0,0.51,0.15,0
255,Raoul Bellanova,ITA,DF,Cagliari,Serie A,21,2000,31,0.11,0,0,0.04,0.83,0.18,0.07
256,Karim Bellarabi,GER,FWDF,Leverkusen,Bundesliga,32,1990,16,0.26,0,0,0.39,3.68,1.45,0.26
257,Jean-Ricner Bellegarde,FRA,MF,Strasbourg,Ligue 1,23,1998,36,0.19,0,0,0.08,1.2,0.27,0.12
258,Héctor Bellerín,ESP,DF,Betis,La Liga,27,1995,23,0.09,0.05,0,0,0.45,0.05,0.09
259,Jude Bellingham,ENG,MF,Dortmund,Bundesliga,18,2003,32,0.29,0,0,0.1,1.42,0.39,0.26
260,George Bello,USA,DF,Arminia,Bundesliga,20,2002,10,0,0,0,0,0.63,0,0
261,Jeanuel Belocian,FRA,DF,Rennes,Ligue 1,17,2005,1,0,0,0,0,0,0,0
262,Andrea Belotti,ITA,FW,Torino,Serie A,28,1993,22,0.07,0,0,0.53,3.62,1.05,0.07
263,Fran Beltrán,ESP,MF,Celta Vigo,La Liga,23,1999,37,0.14,0,0,0.03,0.69,0.14,0
264,Hatem Ben Arfa,FRA,FWMF,Lille,Ligue 1,35,1987,7,0.29,0,0,0,0.86,0.29,0.29
265,Salim Ben Seghir,FRA,FW,Marseille,Ligue 1,19,2003,1,0,0,0,0,0,0,0
266,Wissam Ben Yedder,FRA,FW,Monaco,Ligue 1,31,1990,37,0.11,0,0,0.89,2.31,1.25,0.18
267,Marco Benassi,ITA,DFMF,Fiorentina,Serie A,27,1994,6,0.56,0,0,0,1.67,0,0
268,Marco Benassi,ITA,MF,Empoli,Serie A,27,1994,12,0.24,0,0,0,1.67,0.95,0
269,Darío Benedetto,ARG,FWMF,Marseille,Ligue 1,32,1990,2,0,0,0,0,5,0,0
270,Darío Benedetto,ARG,FW,Elche,La Liga,32,1990,14,0.15,0,0,0.3,2.73,0.91,0.15
271,László Bénes,SVK,MF,M'Gladbach,Bundesliga,24,1997,13,0,0,0,0,2.59,1.85,0
272,Walter Benítez,ARG,GK,Nice,Ligue 1,29,1993,37,0.05,0,0,0,0,0,0
273,Iker Benito,ESP,MFFW,Osasuna,La Liga,19,2002,4,0.77,0,0,0,2.31,0.77,0
274,Loris Benito,SUI,DF,Bordeaux,Ligue 1,30,1992,1,0,0,0,0,0,0,0
275,Pedro Benito,ESP,FW,Cádiz,La Liga,22,2000,1,0,0,0,0,0,0,0
276,Filip Benkovi?,CRO,DFFW,Udinese,Serie A,24,1997,2,0,0,0,0,10,10,0
277,Ismaël Bennacer,ALG,MF,Milan,Serie A,24,1997,31,0.41,0,0,0.12,0.95,0.36,0.06
278,Keanan Bennetts,ENG,FWDF,M'Gladbach,Bundesliga,23,1999,4,1.67,0,0,0,1.67,0,0
279,Saïd Benrahma,ALG,FWMF,West Ham,Premier League,26,1995,32,0,0,0,0.33,2.61,0.91,0.25
280,Ramy Bensebaini,ALG,DF,M'Gladbach,Bundesliga,27,1995,23,0.27,0,0,0.18,1.29,0.31,0.04
281,Nabil Bentaleb,ALG,MF,Angers,Ligue 1,27,1994,18,0.24,0,0,0.06,0.89,0.42,0
282,Rodrigo Bentancur,URU,MF,Tottenham,Premier League,24,1997,17,0.33,0,0,0,0.93,0.13,0.26
283,Rodrigo Bentancur,URU,MF,Juventus,Serie A,24,1997,19,0.08,0,0,0,0.63,0.08,0.08
284,Christian Benteke,BEL,FW,Crystal Palace,Premier League,31,1990,25,0.24,0,0,0.31,3.07,1.02,0.08
285,Karim Benzema,FRA,FW,Real Madrid,La Liga,34,1987,32,0,0,0,0.94,4.1,1.63,0.42
286,Alessandro Berardi,ITA,GK,Hellas Verona,Serie A,31,1991,1,0,0,0,0,0,0,0
287,Domenico Berardi,ITA,FW,Sassuolo,Serie A,27,1994,33,0.29,0,0,0.48,3.29,1.28,0.45
288,Yuri Berchiche,ESP,DF,Athletic Club,La Liga,32,1990,14,0.27,0,0,0.09,0.71,0.27,0.18
289,Álex Berenguer,ESP,MFFW,Athletic Club,La Liga,26,1995,34,0.33,0,0,0.12,1.91,0.58,0.25
290,Bartosz Bereszy?ski,POL,DF,Sampdoria,Serie A,29,1992,35,0.37,0,0,0,0.18,0.03,0.09
291,Jóhann Berg Gu?mundsson,ISL,MF,Burnley,Premier League,31,1990,18,0.16,0,0,0,1.56,0.33,0.08
292,Patrick Berg,NOR,MF,Lens,Ligue 1,24,1997,14,0,0,0,0,0,0,0
293,Mitchell van Bergen,NED,FWMF,Reims,Ligue 1,22,1999,20,0.09,0,0,0,1.1,0.46,0
294,Steven Bergwijn,NED,FWMF,Tottenham,Premier League,24,1997,25,0.16,0,0,0.48,3.02,1.59,0.16
295,Etrit Berisha,ALB,GK,Torino,Serie A,33,1989,10,0.1,0,0,0,0,0,0
296,Valon Berisha,KVX,MFFW,Reims,Ligue 1,29,1993,13,0.39,0.2,0.2,0,0.78,0,0.2
297,Federico Bernardeschi,ITA,MFFW,Juventus,Serie A,28,1994,28,0.3,0,0,0.06,2.07,0.49,0.18
298,Paul Bernardoni,FRA,GK,Angers,Ligue 1,25,1997,13,0,0,0,0,0,0,0
299,Paul Bernardoni,FRA,GK,Saint-Étienne,Ligue 1,25,1997,19,0,0,0,0,0,0,0
300,Juan Bernat,ESP,DF,Paris S-G,Ligue 1,29,1993,15,0.19,0,0,0,0.09,0.09,0
301,Dimitry Bertaud,FRA,GK,Montpellier,Ligue 1,23,1998,11,0,0,0,0,0,0,0
302,Jason Berthomier,FRA,MF,Clermont Foot,Ligue 1,32,1990,29,0,0,0,0.05,1.2,0.21,0.26
303,Nicolò Bertola,ITA,MFDF,Spezia,Serie A,19,2003,2,0,0,0,0,2.5,2.5,0
304,Ryan Bertrand,ENG,DF,Leicester City,Premier League,32,1989,4,0.27,0,0,0,0,0,0
305,Daniel Bessa,ITA,MFFW,Hellas Verona,Serie A,29,1993,24,0.59,0.12,0.12,0.12,1.18,0.24,0.12
306,Beto,GNB,FW,Udinese,Serie A,24,1998,28,0.04,0,0,0.46,2.66,1.08,0
307,Louis Beyer,GER,DF,M'Gladbach,Bundesliga,22,2000,17,0.32,0,0,0,0.45,0,0
308,Bartosz Bialek,POL,FW,Wolfsburg,Bundesliga,20,2001,12,0.5,0,0,0,3.5,1,0
309,Giulian Biancone,FRA,DF,Troyes,Ligue 1,22,2000,33,0.39,0,0,0.04,1.14,0.31,0.08
310,Ermin Bi?ak?i?,BIH,DF,Hoffenheim,Bundesliga,32,1990,1,0,0,0,0,0,0,0
311,Mads Bidstrup,DEN,MF,Brentford,Premier League,21,2001,4,0,0,0,0,0,0,0
312,Pedro Bigas,ESP,DF,Elche,La Liga,31,1990,19,0.35,0,0,0.06,0.7,0.17,0
313,El Bilal Touré,MLI,FW,Reims,Ligue 1,20,2001,21,0.15,0,0,0.15,2.48,0.83,0.3
314,Jean-Claude Billong,CMR,DF,Clermont Foot,Ligue 1,28,1993,15,0.18,0,0,0,0.37,0.09,0
315,Luis Binks,ENG,DF,Bologna,Serie A,20,2001,15,0.42,0,0,0,0.28,0,0
316,Cristiano Biraghi,ITA,DF,Fiorentina,Serie A,29,1992,37,0.14,0.03,0.03,0.11,1.06,0.49,0.03
317,Davide Biraschi,ITA,DF,Genoa,Serie A,27,1994,14,0.39,0,0,0,0.29,0,0
318,Tom Bischof,GER,MFFW,Hoffenheim,Bundesliga,16,2005,1,0,0,0,0,0,0,0
319,Yves Bissouma,MLI,MF,Brighton,Premier League,25,1996,26,0.43,0,0,0.04,0.89,0.21,0.09
320,Nathan Bitu Mazala,FRA,DF,Paris S-G,Ligue 1,19,2002,1,0,0,0,0,0,0,0
321,Marco Bizot,NED,GK,Brest,Ligue 1,31,1991,38,0.03,0,0,0,0,0,0.03
322,Bjarki Bjarkason,ISL,FW,Venezia,Serie A,22,2000,1,0,0,0,0,0,0,0
323,Blanco,ESP,MF,Real Madrid,La Liga,21,2000,1,0,0,0,0,0,0,0
324,Ludovic Blas,FRA,MFFW,Nantes,Ligue 1,24,1997,35,0.3,0,0,0.3,2.58,0.97,0.15
325,Danny Blum,GER,FWMF,Bochum,Bundesliga,31,1991,13,0,0,0,0.53,2.89,1.32,0
326,Myron Boadu,NED,FW,Monaco,Ligue 1,21,2001,31,0,0,0,0.37,1.96,0.75,0.09
327,Jérôme Boateng,GER,DF,Lyon,Ligue 1,33,1988,24,0.33,0,0,0,0.28,0.17,0.06
328,Kevin-Prince Boateng,GHA,MFFW,Hertha BSC,Bundesliga,35,1987,18,1.04,0,0,0,1.3,0.26,0
329,Antonin Bobichon,FRA,MFFW,Angers,Ligue 1,26,1995,4,0,0,0,0,0,0,0
330,Herbert Bockhorn,GER,DF,Bochum,Bundesliga,27,1995,18,0.11,0,0,0,0.74,0.21,0
331,Jean-Paul Boëtius,NED,MF,Mainz 05,Bundesliga,28,1994,33,0.15,0,0,0.1,1.2,0.4,0.1
332,Jeremie Boga,CIV,FWMF,Sassuolo,Serie A,25,1997,12,0,0,0,0,2.03,0.68,0.27
