primaryTitle,averageRating
Breaking Bad,9.5
Band of Brothers,9.4
Chernobyl,9.3
Planet Earth,9.4
Planet Earth II,9.4
Game of Thrones,9.2
The Sopranos,9.2
Avatar: The Last Airbender,9.3
The Wire,9.3
Sherlock,9.1
Rick and Morty,9.1
Attack on Titan,9.1
Aspirants,9.2
Scam 1992: The Harshad Mehta Story,9.2
Cosmos: A Spacetime Odyssey,9.2
The Office,9
Better Call Saul,9
Arcane,9
Fullmetal Alchemist: Brotherhood,9.1
Blue Planet II,9.3
Friends,8.9
True Detective,8.9
Death Note,8.9
Seinfeld,8.9
One Piece,9
The Last Dance,9
Hunter x Hunter,9
Batman: The Animated Series,9
Leyla and Mecnun,9.1
TVF Pitchers,9.1
Our Planet,9.2
Cosmos,9.3
Bluey,9.3
Fargo,8.8
Ted Lasso,8.8
Succession,8.8
Firefly,8.9
Gravity Falls,8.9
Cowboy Bebop,8.9
The Twilight Zone,9
Kota Factory,9
Clarkson's Farm,9
The Chosen,9.1
Life,9.1
Peaky Blinders,8.7
Black Mirror,8.7
The Last of Us,8.7
House,8.7
Narcos,8.7
Dark,8.7
The Simpsons,8.7
South Park,8.7
Arrested Development,8.7
Severance,8.7
It's Always Sunny in Philadelphia,8.8
BoJack Horseman,8.8
Dragon Ball Z,8.8
Freaks and Geeks,8.8
Curb Your Enthusiasm,8.8
When They See Us,8.8
Dhindora,8.8
Fawlty Towers,8.8
Last Week Tonight with John Oliver,8.8
Pride and Prejudice,8.8
Vinland Saga,8.8
The West Wing,8.9
Only Fools and Horses,9
Bleach: Thousand-Year Blood War,9
Persona,9
The Blue Planet,9
NCR Days,9
The World at War,9.2
Stranger Things,8.6
Dexter,8.6
The Boys,8.6
The Mandalorian,8.6
House of Cards,8.6
Daredevil,8.6
Mindhunter,8.6
Parks and Recreation,8.6
Mad Men,8.7
Yellowstone,8.6
The Crown,8.6
Invincible,8.7
Downton Abbey,8.7
Twin Peaks,8.7
Fleabag,8.7
One Punch Man,8.7
Naruto: Shippuden,8.7
Rome,8.7
Battlestar Galactica,8.7
This Is Us,8.7
Six Feet Under,8.7
The Marvelous Mrs. Maisel,8.7
Star Trek: The Next Generation,8.7
1883,8.7
Top Gear,8.7
Oz,8.7
The Family Man,8.7
Dragon Ball Z,8.8